👋,人,te,て,手
🦵,人,ashi,あし,足
🦶,人,ashi,あし,足
👂,人,mimi,みみ,耳
🦻,人,mimi,みみ,耳
👃,人,hana,はな,鼻
🧠,人,nou,のう,脳
🫀,人,shinnzou,しんぞう,心臓
🦷,人,ha,は,歯
🦴,人,hone,ほね,骨
👀,人,me,め,目
👁️,人,me,め,目
👅,人,shita,した,舌
👄,人,kuchi,くち,口
👶,人,akachann,あかちゃん,赤ちゃん
🧒,人,kodomo,こども,子ども
👦,人,otokonoko,おとこのこ,男の子
👧,人,onnnanoko,おんなのこ,女の子
👨,人,otoko,おとこ,男
👨‍🦰,人,otoko,おとこ,男
👨‍🦱,人,otoko,おとこ,男
👨‍🦳,人,otoko,おとこ,男
👨‍🦲,人,otoko,おとこ,男
👩,人,onnna,おんな,女
👩‍🦰,人,onnna,おんな,女
👩‍🦱,人,onnna,おんな,女
👩‍🦳,人,onnna,おんな,女
👩‍🦲,人,onnna,おんな,女
👱‍♀️,人,onnna,おんな,女
👱‍♂️,人,otoko,おとこ,男
👴,人,ojiisann,おじいさん,おじいさん
👵,人,obaasann,おばあさん,おばあさん
🧑‍🎓,人,gakusei,がくせい,学生
👨‍🎓,人,gakusei,がくせい,学生
👩‍🎓,人,gakusei,がくせい,学生
🧑‍🏫,人,sennsei,せんせい,先生
👨‍🏫,人,sennsei,せんせい,先生
👩‍🏫,人,sennsei,せんせい,先生
🧑‍⚖️,人,saibannkann,さいばんかん,裁判官
👨‍⚖️,人,saibannkann,さいばんかん,裁判官
👩‍⚖️,人,saibannkann,さいばんかん,裁判官
🧑‍🌾,人,nouka,のうか,農家
👨‍🌾,人,nouka,のうか,農家
👩‍🌾,人,nouka,のうか,農家
🧑‍🍳,人,ryourininn,りょうりにん,料理人
👨‍🍳,人,ryourininn,りょうりにん,料理人
👩‍🍳,人,ryourininn,りょうりにん,料理人
🧑‍🔧,人,seibishi,せいびし,整備士
👨‍🔧,人,seibishi,せいびし,整備士
👩‍🔧,人,seibishi,せいびし,整備士
🧑‍🔬,人,kagakusha,かがくしゃ,科学者
👨‍🔬,人,kagakusha,かがくしゃ,科学者
👩‍🔬,人,kagakusha,かがくしゃ,科学者
🧑‍💻,人,gijutsusha,ぎじゅつしゃ,技術者
👨‍💻,人,gijutsusha,ぎじゅつしゃ,技術者
👩‍💻,人,gijutsusha,ぎじゅつしゃ,技術者
🧑‍🎤,人,kashu,かしゅ,歌手
👨‍🎤,人,kashu,かしゅ,歌手
👩‍🎤,人,kashu,かしゅ,歌手
🧑‍🎨,人,geijutsuka,げいじゅつか,芸術家
👨‍🎨,人,geijutsuka,げいじゅつか,芸術家
👩‍🎨,人,geijutsuka,げいじゅつか,芸術家
🧑‍✈️,人,pairotto,パイロット,パイロット
👨‍✈️,人,pairotto,パイロット,パイロット
👩‍✈️,人,pairotto,パイロット,パイロット
🧑‍🚀,人,uchuuhikoushi,うちゅうひこうし,宇宙飛行士
👨‍🚀,人,uchuuhikoushi,うちゅうひこうし,宇宙飛行士
👩‍🚀,人,uchuuhikoushi,うちゅうひこうし,宇宙飛行士
🧑‍🚒,人,shouboushi,しょうぼうし,消防士
👨‍🚒,人,shouboushi,しょうぼうし,消防士
👩‍🚒,人,shouboushi,しょうぼうし,消防士
👮,人,keisatsukann,けいさつかん,警察官
👮‍♂️,人,keisatsukann,けいさつかん,警察官
👮‍♀️,人,keisatsukann,けいさつかん,警察官
🕵️,人,tanntei,たんてい,探偵
🕵️‍♂️,人,tanntei,たんてい,探偵
🕵️‍♀️,人,tanntei,たんてい,探偵
💂,人,goei,ごえい,護衛
💂‍♂️,人,goei,ごえい,護衛
💂‍♀️,人,goei,ごえい,護衛
🥷,人,ninnja,にんじゃ,忍者
🤴,人,oujisama,おうじさま,王子様
👸,人,ohimesama,おひめさま,お姫様
🚶,人,aruku,あるく,歩く
🚶‍♂️,人,aruku,あるく,歩く
🚶‍♀️,人,aruku,あるく,歩く
🧍,人,tatsu,たつ,立つ
🧍‍♂️,人,tatsu,たつ,立つ
🧍‍♀️,人,tatsu,たつ,立つ
🏃,人,hashiru,はしる,走る
🏃‍♂️,人,hashiru,はしる,走る
🏃‍♀️,人,hashiru,はしる,走る
💃,人,dannsa-,ダンサー,ダンサー
🕺,人,dannsa-,ダンサー,ダンサー
👪,人,kazoku,かぞく,家族
👨‍👩‍👦,人,kazoku,かぞく,家族
👨‍👩‍👧,人,kazoku,かぞく,家族
👨‍👩‍👧‍👦,人,kazoku,かぞく,家族
👨‍👩‍👦‍👦,人,kazoku,かぞく,家族
👨‍👩‍👧‍👧,人,kazoku,かぞく,家族
👨‍👨‍👦,人,kazoku,かぞく,家族
👨‍👨‍👧,人,kazoku,かぞく,家族
👨‍👨‍👧‍👦,人,kazoku,かぞく,家族
👨‍👨‍👦‍👦,人,kazoku,かぞく,家族
👨‍👨‍👧‍👧,人,kazoku,かぞく,家族
👩‍👩‍👦,人,kazoku,かぞく,家族
👩‍👩‍👧,人,kazoku,かぞく,家族
👩‍👩‍👧‍👦,人,kazoku,かぞく,家族
👩‍👩‍👦‍👦,人,kazoku,かぞく,家族
👩‍👩‍👧‍👧,人,kazoku,かぞく,家族
🌂,服,kasa,かさ,かさ
☂️,服,kasa,かさ,かさ
👓,服,megane,メガネ,メガネ
🕶️,服,sanngurasu,サングラス,サングラス
🥽,服,go-guru,ゴーグル,ゴーグル
🥼,服,hakui,はくい,白衣
🦺,服,besuto,ベスト,ベスト
👔,服,nekutai,ネクタイ,ネクタイ
👕,服,Tshatsu,Tシャツ,Tシャツ
👖,服,ji-nnzu,ジーンズ,ジーンズ
🧣,服,suka-fu,スカーフ,スカーフ
🧤,服,tebukuro,てぶくろ,手ぶくろ
🧥,服,ko-to,コート,コート
🧦,服,kutsushita,くつした,くつ下
👗,服,doresu,ドレス,ドレス
👘,服,kimono,きもの,着物
🩱,服,mizugi,みずぎ,水着
🩲,服,buri-fu,ブリーフ,ブリーフ
🩳,服,sho-topanntsu,ショートパンツ,ショートパンツ
👙,服,bikini,ビキニ,ビキニ
👚,服,youfuku,ようふく,洋服
👛,服,saifu,さいふ,財布
👜,服,hanndobaggu,ハンドバッグ,ハンドバッグ
👝,服,po-chi,ポーチ,ポーチ
🎒,服,ryukkusakku,リュックサック,リュックサック
🩴,服,sanndaru,サンダル,サンダル
👞,服,kutsu,くつ,くつ
👟,服,kutsu,くつ,くつ
🥾,服,kutsu,くつ,くつ
🥿,服,kutsu,くつ,くつ
👠,服,kutsu,くつ,くつ
👡,服,sanndaru,サンダル,サンダル
🩰,服,kutsu,くつ,くつ
👢,服,bu-tsu,ブーツ,ブーツ
👑,服,oukann,おうかん,王冠
👒,服,boushi,ぼうし,帽子
🎩,服,shirukuhatto,シルクハット,シルクハット
🎓,服,sotsugyoubou,そつぎょうぼう,卒業帽
🧢,服,kyappu,キャップ,キャップ
🪖,服,herumetto,ヘルメット,ヘルメット
⛑️,服,annzennbou,あんぜんぼう,安全帽
💄,服,kuchibeni,くちべに,口紅
💍,服,yubiwa,ゆびわ,指輪
💼,服,buri-fuke-su,ブリーフケース,ブリーフケース
🐵,動物,saru,サル,サル
🐒,動物,saru,サル,サル
🦍,動物,gorira,ゴリラ,ゴリラ
🦧,動物,orannu-tann,オランウータン,オランウータン
🐶,動物,inu,イヌ,犬
🐕,動物,inu,イヌ,犬
🦮,動物,inu,イヌ,犬
🐕‍🦺,動物,inu,イヌ,犬
🐩,動物,pu-doru,プードル,プードル
🐺,動物,ookami,オオカミ,オオカミ
🦊,動物,kitsune,キツネ,キツネ
🦝,動物,araiguma,アライグマ,アライグマ
🐱,動物,neko,ネコ,ネコ
🐈,動物,neko,ネコ,ネコ
🐈‍⬛,動物,neko,ネコ,ネコ
🦁,動物,raionn,ライオン,ライオン
🐯,動物,tora,トラ,トラ
🐅,動物,tora,トラ,トラ
🐆,動物,hyou,ヒョウ,ヒョウ
🐴,動物,uma,ウマ,馬
🐎,動物,uma,ウマ,馬
🦄,動物,yuniko-nn,ユニコーン,ユニコーン
🦓,動物,shimauma,シマウマ,シマウマ
🦌,動物,shika,シカ,鹿
🐮,動物,ushi,ウシ,牛
🐄,動物,mesuushi,めすウシ,めす牛
🐷,動物,buta,ブタ,豚
🐖,動物,buta,ブタ,豚
🦒,動物,kirinn,キリン,キリン
🐘,動物,zou,ゾウ,象
🦣,動物,mannmosu,マンモス,マンモス
🐭,動物,nezumi,ネズミ,ネズミ
🐁,動物,nezumi,ネズミ,ネズミ
🐀,動物,ratto,ラット,ラット
🐹,動物,hamusuta-,ハムスター,ハムスター
🐰,動物,usagi,ウサギ,ウサギ
🐇,動物,usagi,ウサギ,ウサギ
🦇,動物,koumori,コウモリ,コウモリ
🐻,動物,kuma,クマ,クマ
🐻‍❄️,動物,kuma,クマ,クマ
🐨,動物,koara,コアラ,コアラ
🐼,動物,pannda,パンダ,パンダ
🦥,動物,namakemono,ナマケモノ,ナマケモノ
🦨,動物,sukannku,スカンク,スカンク
🦘,動物,kanngaru-,カンガルー,カンガルー
🐔,動物,niwatori,ニワトリ,ニワトリ
🐣,動物,hiyoko,ヒヨコ,ヒヨコ
🐤,動物,hiyoko,ヒヨコ,ヒヨコ
🐥,動物,hiyoko,ヒヨコ,ヒヨコ
🐦,動物,tori,とり,鳥
🐧,動物,pennginn,ペンギン,ペンギン
🦆,動物,kamo,カモ,カモ
🦢,動物,hakuchou,はくちょう,白鳥
🦉,動物,fukurou,フクロウ,フクロウ
🪶,動物,hane,はね,羽
🦩,動物,furaminngo,フラミンゴ,フラミンゴ
🦜,動物,oumu,オウム,オウム
🐸,動物,kaeru,カエル,カエル
🐊,動物,wani,ワニ,ワニ
🐢,動物,kame,カメ,カメ
🦎,動物,tokage,トカゲ,トカゲ
🐍,動物,hebi,ヘビ,ヘビ
🐲,動物,doragonn,ドラゴン,ドラゴン
🐉,動物,doragonn,ドラゴン,ドラゴン
🦕,動物,kyouryuu,きょうりゅう,草食恐竜
🦖,動物,kyouryuu,きょうりゅう,肉食恐竜
🐳,動物,kujira,クジラ,クジラ
🐋,動物,kujira,クジラ,クジラ
🐬,動物,iruka,イルカ,イルカ
🦭,動物,azarashi,アザラシ,アザラシ
🐟,動物,sakana,さかな,魚
🐠,動物,sakana,さかな,魚
🦈,動物,same,サメ,サメ
🐙,動物,tako,タコ,タコ
🐚,動物,makigai,まきがい,巻貝
🐌,動物,katatsumuri,カタツムリ,カタツムリ
🦋,動物,choucho,ちょうちょ,ちょうちょ
🐛,動物,kemushi,けむし,毛虫
🐜,動物,ari,アリ,アリ
🐝,動物,mitsubachi,ミツバチ,ミツバチ
🪲,動物,kouchuu,こうちゅう,甲虫
🐞,動物,tenntoumushi,てんとうむし,てんとう虫
🦗,動物,koorogi,コオロギ,コオロギ
🪳,動物,gokiburi,ゴキブリ,ゴキブリ
🕷️,動物,kumo,クモ,クモ
🕸️,動物,kumonosu,クモのす,クモの巣
🦂,動物,sasori,サソリ,サソリ
🦟,動物,ka,か,蚊
🪰,動物,hae,ハエ,ハエ
🪱,動物,mimizu,ミミズ,ミミズ
💐,自然,hanataba,はなたば,花束
🌸,自然,hana,はな,花
💮,自然,hana,はな,花
🏵️,自然,hana,はな,花
🌹,自然,hana,はな,花
🌺,自然,hana,はな,花
🌻,自然,himawari,ひまわり,ひまわり
🌼,自然,hana,はな,花
🌷,自然,chu-rippu,チューリップ,チューリップ
🪴,自然,hachiue,はちうえ,はち植え
🌲,自然,ki,き,木
🌳,自然,ki,き,木
🌴,自然,ki,き,木
🌿,自然,ha,は,葉
☘️,自然,ha,は,葉
🍀,自然,ha,は,葉
🍁,自然,ha,は,葉
🍂,自然,ha,は,葉
🍃,自然,ha,は,葉
🍄,食べ物,kinoko,キノコ,キノコ
🦀,自然,kani,カニ,カニ
🦞,自然,robusuta-,ロブスター,ロブスター
🦐,自然,ebi,エビ,エビ
🦑,自然,ika,イカ,イカ
🪨,自然,iwa,いわ,岩
🌙,自然,tsuki,つき,月
🌛,自然,tsuki,つき,月
🌜,自然,tsuki,つき,月
☀️,自然,taiyou,たいよう,太陽
🌞,自然,taiyou,たいよう,太陽
⭐,自然,hoshi,ほし,星
🌟,自然,hoshi,ほし,星
🌠,自然,hoshi,ほし,星
☁️,自然,kumori,くもり,くもり
🌧️,自然,ame,あめ,雨
🌨️,自然,yuki,ゆき,雪
🌩️,自然,kaminari,かみなり,雷
🌪️,自然,tatsumaki,たつまき,竜巻
🌫️,自然,kiri,きり,霧
🌈,自然,niji,にじ,虹
☂️,自然,kasa,かさ,かさ
⚡,自然,kaminari,かみなり,雷
❄️,自然,yukinokesshou,ゆきのけっしょう,雪の結晶
☃️,自然,yukidaruma,ゆきだるま,雪だるま
⛄,自然,yukidaruma,ゆきだるま,雪だるま
☄️,自然,suisei,すいせい,彗星
🔥,自然,honoo,ほのお,炎
🌊,自然,nami,なみ,波
🍇,食べ物,budou,ぶどう,ぶどう
🍈,食べ物,meronn,メロン,メロン
🍉,食べ物,suika,スイカ,スイカ
🍋,食べ物,remonn,レモン,レモン
🍌,食べ物,banana,バナナ,バナナ
🍍,食べ物,painappuru,パイナップル,パイナップル
🥭,食べ物,manngo-,マンゴー,マンゴー
🍎,食べ物,akarinngo,あかりんご,赤りんご
🍏,食べ物,aorinngo,あおりんご,青りんご
🍐,食べ物,younashi,ようなし,洋ナシ
🍑,食べ物,momo,もも,桃
🍒,食べ物,sakurannbo,サクランボ,サクランボ
🍓,食べ物,ichigo,イチゴ,イチゴ
🫐,食べ物,buru-beri-,ブルーベリー,ブルーベリー
🥝,食べ物,kiui,キウイ,キウイ
🍅,食べ物,tomato,トマト,トマト
🫒,食べ物,ori-bu,オリーブ,オリーブ
🥥,食べ物,kokonattsu,ココナッツ,ココナッツ
🥑,食べ物,abokado,アボカド,アボカド
🍆,食べ物,nasu,ナス,ナス
🥔,食べ物,jagaimo,ジャガイモ,ジャガイモ
🥕,食べ物,ninnjinn,ニンジン,ニンジン
🌽,食べ物,toumorokoshi,トウモロコシ,トウモロコシ
🌶️,食べ物,tougarashi,とうがらし,とうがらし
🫑,食べ物,pi-mann,ピーマン,ピーマン
🥒,食べ物,kyuuri,キュウリ,キュウリ
🥬,食べ物,hamonoyasai,はものやさい,葉物野菜
🥦,食べ物,burokkori-,ブロッコリー,ブロッコリー
🧄,食べ物,ninnniku,ニンニク,ニンニク
🧅,食べ物,tamanegi,タマネギ,タマネギ
🍄,食べ物,kinoko,きのこ,きのこ
🥜,食べ物,pi-nattsu,ピーナッツ,ピーナッツ
🌰,食べ物,kuri,くり,栗
🍞,食べ物,pann,パン,パン
🥐,食べ物,pann,パン,パン
🥖,食べ物,pann,パン,パン
🫓,食べ物,pann,パン,パン
🥨,食べ物,pann,パン,パン
🥯,食べ物,be-guru,ベーグル,ベーグル
🥞,食べ物,pannke-ki,パンケーキ,パンケーキ
🧇,食べ物,waffuru,ワッフル,ワッフル
🧀,食べ物,chi-zu,チーズ,チーズ
🍖,食べ物,niku,にく,肉
🍗,食べ物,niku,にく,肉
🥩,食べ物,niku,にく,肉
🥓,食べ物,be-konn,ベーコン,ベーコン
🍔,食べ物,hannba-ga-,ハンバーガー,ハンバーガー
🍟,食べ物,furaidopoteto,フライドポテト,フライドポテト
🍕,食べ物,piza,ピザ,ピザ
🌭,食べ物,hottodoggu,ホットドッグ,ホットドッグ
🥪,食べ物,sanndoicchi,サンドイッチ,サンドイッチ
🌮,食べ物,takosu,タコス,タコス
🥚,食べ物,tamago,たまご,卵
🥗,食べ物,sarada,サラダ,サラダ
🍿,食べ物,poppuko-nn,ポップコーン,ポップコーン
🧈,食べ物,bata-,バター,バター
🧂,食べ物,shio,しお,塩
🍱,食べ物,benntoubako,べんとうばこ,弁当箱
🍘,食べ物,sennbei,せんべい,せんべい
🍙,食べ物,onigiri,おにぎり,おにぎり
🍚,食べ物,gohann,ごはん,ごはん
🍛,食べ物,kare-raisu,カレーライス,カレーライス
🍜,食べ物,donnburi,どんぶり,どんぶり
🍝,食べ物,supagetthi,スパゲッティ,スパゲッティ
🍢,食べ物,odenn,おでん,おでん
🍣,食べ物,sushi,すし,寿司
🍤,食べ物,ebifurai,エビフライ,エビフライ
🥮,食べ物,geppei,げっぺい,月餅
🍡,食べ物,danngo,だんご,だんご
🥟,食べ物,shouronnpou,しょうろんぽう,小籠包
🥡,食べ物,teikuautobokkusu,テイクアウトボックス,テイクアウトボックス
🦪,食べ物,kaki,カキ,カキ
🍦,食べ物,sofutokuri-mu,ソフトクリーム,ソフトクリーム
🍧,食べ物,kakigoori,かきごおり,かき氷
🍨,食べ物,aisukuri-mu,アイスクリーム,アイスクリーム
🍩,食べ物,do-natsu,ドーナツ,ドーナツ
🍪,食べ物,kukki-,クッキー,クッキー
🎂,食べ物,ke-ki,ケーキ,ケーキ
🍰,食べ物,ke-ki,ケーキ,ケーキ
🧁,食べ物,ke-ki,ケーキ,ケーキ
🥧,食べ物,pai,パイ,パイ
🍫,食べ物,chokore-to,チョコレート,チョコレート
🍬,食べ物,ame,あめ,あめ
🍭,食べ物,peroperokyanndhi,ペロペロキャンディ,ペロペロキャンディ
🍮,食べ物,purinn,プリン,プリン
🍯,食べ物,hachimitsu,はちみつ,はちみつ
🥛,食べ物,gyuunyuu,ぎゅうにゅう,牛乳
🫖,食べ物,thi-potto,ティーポット,ティーポット
🍵,食べ物,yunomi,ゆのみ,湯呑み
🍶,食べ物,nihonnshu,にほんしゅ,日本酒
🍷,食べ物,gurasu,グラス,グラス
🍸,食べ物,gurasu,グラス,グラス
🍹,食べ物,nomimono,のみもの,飲み物
🍺,食べ物,bi-ru,ビール,ビール
🍻,食べ物,bi-ru,ビール,ビール
🧊,食べ物,koori,こおり,氷
🥢,食べ物,hashi,はし,箸
🥄,食べ物,supu-nn,スプーン,スプーン
🧗,スポーツ,kuraiminngu,クライミング,クライミング
🧗‍♂️,スポーツ,kuraiminngu,クライミング,クライミング
🧗‍♀️,スポーツ,kuraiminngu,クライミング,クライミング
🤺,スポーツ,fennshinngu,フェンシング,フェンシング
🏇,スポーツ,keiba,けいば,競馬
⛷️,スポーツ,suki-,スキー,スキー
🏂,スポーツ,suno-bo-da-,スノーボーダー,スノーボーダー
🏌️,スポーツ,gorufa-,ゴルファー,ゴルファー
🏌️‍♂️,スポーツ,gorufa-,ゴルファー,ゴルファー
🏌️‍♀️,スポーツ,gorufa-,ゴルファー,ゴルファー
🏄,スポーツ,sa-fa-,サーファー,サーファー
🏄‍♂️,スポーツ,sa-fa-,サーファー,サーファー
🏄‍♀️,スポーツ,sa-fa-,サーファー,サーファー
🚣,スポーツ,bo-toninoru,ボートにのる,ボートに乗る
🚣‍♂️,スポーツ,bo-toninoru,ボートにのる,ボートに乗る
🚣‍♀️,スポーツ,bo-toninoru,ボートにのる,ボートに乗る
🏊,スポーツ,suiei,すいえい,水泳
🏊‍♂️,スポーツ,suiei,すいえい,水泳
🏊‍♀️,スポーツ,suiei,すいえい,水泳
⛹️,スポーツ,bo-ruwotsuku,ボールをつく,ボールをつく
⛹️‍♂️,スポーツ,bo-ruwotsuku,ボールをつく,ボールをつく
