👋,人,te,て,手
⛹️‍♀️,スポーツ,bo-ruwotsuku,ボールをつく,ボールをつく
🏋️,スポーツ,juuryouage,じゅうりょうあげ,重量挙げ
🏋️‍♂️,スポーツ,juuryouage,じゅうりょうあげ,重量挙げ
🏋️‍♀️,スポーツ,juuryouage,じゅうりょうあげ,重量挙げ
🚴,スポーツ,jitennshaninoru,じてんしゃにのる,自転車に乗る
🚴‍♂️,スポーツ,jitennshaninoru,じてんしゃにのる,自転車に乗る
🚴‍♀️,スポーツ,jitennshaninoru,じてんしゃにのる,自転車に乗る
🚵,スポーツ,hirukuraimu,ヒルクライム,ヒルクライム
🚵‍♂️,スポーツ,hirukuraimu,ヒルクライム,ヒルクライム
🚵‍♀️,スポーツ,hirukuraimu,ヒルクライム,ヒルクライム
🤸,スポーツ,taisou,たいそう,体操
🤸‍♂️,スポーツ,taisou,たいそう,体操
🤸‍♀️,スポーツ,taisou,たいそう,体操
🤼,スポーツ,resurinngu,レスリング,レスリング
🤼‍♂️,スポーツ,resurinngu,レスリング,レスリング
🤼‍♀️,スポーツ,resurinngu,レスリング,レスリング
🤾,スポーツ,hanndobo-ru,ハンドボール,ハンドボール
🤾‍♂️,スポーツ,hanndobo-ru,ハンドボール,ハンドボール
🤾‍♀️,スポーツ,hanndobo-ru,ハンドボール,ハンドボール
🤹,スポーツ,jagurinngu,ジャグリング,ジャグリング
🤹‍♂️,スポーツ,jagurinngu,ジャグリング,ジャグリング
🤹‍♀️,スポーツ,jagurinngu,ジャグリング,ジャグリング
🧘,スポーツ,yoga,ヨガ,ヨガ
🧘‍♂️,スポーツ,yoga,ヨガ,ヨガ
🧘‍♀️,スポーツ,yoga,ヨガ,ヨガ
🛹,スポーツ,suke-tobo-do,スケートボード,スケートボード
🛼,スポーツ,ro-ra-suke-to,ローラースケート,ローラースケート
🛶,スポーツ,kanu-,カヌー,カヌー
🎖️,スポーツ,medaru,メダル,メダル
🏆,スポーツ,torofi-,トロフィー,トロフィー
🏅,スポーツ,medaru,メダル,メダル
🥇,スポーツ,medaru,メダル,メダル
🥈,スポーツ,medaru,メダル,メダル
🥉,スポーツ,medaru,メダル,メダル
⚽,スポーツ,sakka-bo-ru,サッカーボール,サッカーボール
⚾,スポーツ,yakyuubo-ru,やきゅうボール,野球ボール
🥎,スポーツ,sofutobo-ru,ソフトボール,ソフトボール
🏀,スポーツ,basukettobo-ru,バスケットボール,バスケットボール
🏐,スポーツ,bare-bo-ru,バレーボール,バレーボール
🏈,スポーツ,amerikannfuttobo-ru,アメリカンフットボール,アメリカンフットボール
🏉,スポーツ,ragubi-,ラグビー,ラグビー
🎾,スポーツ,tenisu,テニス,テニス
🥏,スポーツ,furainngudhisuku,フライングディスク,フライングディスク
🎳,スポーツ,bourinngu,ボウリング,ボウリング
🏏,スポーツ,kuriketto,クリケット,クリケット
🏑,スポーツ,fi-rudohokke-,フィールドホッケー,フィールドホッケー
🏒,スポーツ,aisuhokke-,アイスホッケー,アイスホッケー
🥍,スポーツ,rakurosu,ラクロス,ラクロス
🏓,スポーツ,takkyuu,たっきゅう,卓球
🏸,スポーツ,badominntonn,バドミントン,バドミントン
🥊,スポーツ,bokushinnguguro-bu,ボクシンググローブ,ボクシンググローブ
🥋,スポーツ,dougi,どうぎ,道着
🥅,スポーツ,go-runetto,ゴールネット,ゴールネット
⛳,スポーツ,gorufunohata,ゴルフのはた,ゴルフの旗
⛸️,スポーツ,aisusuke-to,アイススケート,アイススケート
🎣,スポーツ,tsuri,つり,釣り
🎽,スポーツ,rannninngushatsu,ランニングシャツ,ランニングシャツ
🎿,スポーツ,suki-,スキー,スキー
🛷,スポーツ,sori,そり,そり
🥌,スポーツ,ka-rinngusuto-nn,カーリングストーン,カーリングストーン
🎯,スポーツ,ooatari,おおあたり,大当たり
🎮,スポーツ,terebige-mu,テレビゲーム,テレビゲーム
🎰,スポーツ,surottomashinn,スロットマシン,スロットマシン
🎨,スポーツ,paretto,パレット,パレット
🎼,スポーツ,gakufu,がくふ,楽譜
🎤,スポーツ,maiku,マイク,マイク
🎧,スポーツ,heddohonn,ヘッドホン,ヘッドホン
🎷,スポーツ,sakkusu,サックス,サックス
🪗,スポーツ,ako-dhionn,アコーディオン,アコーディオン
🎸,スポーツ,gita-,ギター,ギター
🎹,スポーツ,kennbann,けんばん,鍵盤
🎺,スポーツ,torannpetto,トランペット,トランペット
🎻,スポーツ,baiorinn,バイオリン,バイオリン
🥁,スポーツ,doramu,ドラム,ドラム
🪘,スポーツ,taiko,たいこ,太鼓
🎬,スポーツ,kachinnko,カチンコ,カチンコ
🏹,スポーツ,yumiya,ゆみや,弓矢
🗾,旅行,nihonnchizu,にほんちず,日本地図
🏔️,旅行,yama,やま,山
⛰️,旅行,yama,やま,山
🌋,旅行,kazann,かざん,火山
🗻,旅行,fujisann,ふじさん,富士山
🏕️,旅行,kyannpu,キャンプ,キャンプ
🏖️,旅行,bi-chi,ビーチ,ビーチ
🏜️,旅行,sabaku,さばく,砂漠
🏝️,旅行,mujinntou,むじんとう,無人島
🏞️,旅行,kokuritsukouenn,こくりつこうえん,国立公園
🏟️,旅行,sutajiamu,スタジアム,スタジアム
🏛️,旅行,iseki,いせき,遺跡
🏗️,旅行,kennchikuchuu,けんちくちゅう,建築中
🏘️,旅行,ie,いえ,家
🏚️,旅行,ie,いえ,家
🏠,旅行,ie,いえ,家
🏡,旅行,ie,いえ,家
🏢,旅行,ofisubiru,オフィスビル,オフィスビル
🏣,旅行,yuubinnkyoku,ゆうびんきょく,郵便局
🏥,旅行,byouinn,びょういん,病院
🏦,旅行,ginnkou,ぎんこう,銀行
🏨,旅行,hoteru,ホテル,ホテル
🏪,旅行,konnbiniennsusutoa,コンビニエンスストア,コンビニエンスストア
🏫,旅行,gakkou,がっこう,学校
🏬,旅行,depa-to,デパート,デパート
🏭,旅行,koujou,こうじょう,工場
🏯,旅行,shiro,しろ,城
🏰,旅行,shiro,しろ,城
💒,旅行,kekkonnshiki,けっこんしき,結婚式
🗼,旅行,toukyoutawa-,とうきょうタワー,東京タワー
⛪,旅行,kyoukai,きょうかい,教会
⛩️,旅行,torii,とりい,鳥居
⛲,旅行,funnsui,ふんすい,噴水
⛺,旅行,tennto,テント,テント
🌁,旅行,kiri,きり,霧
🌄,旅行,hinode,ひので,日の出
🌅,旅行,hinode,ひので,日の出
🌇,旅行,yuuyake,ゆうやけ,夕焼け
🎡,旅行,kannrannsha,かんらんしゃ,観覧車
🎢,旅行,jettoko-suta-,ジェットコースター,ジェットコースター
🚆,旅行,ressha,れっしゃ,列車
🚇,旅行,chikatetsu,ちかてつ,地下鉄
🚉,旅行,eki,えき,駅
🚝,旅行,monore-ru,モノレール,モノレール
🚌,旅行,basu,バス,バス
🚍,旅行,basu,バス,バス
🚑,旅行,kyuukyuusha,きゅうきゅうしゃ,救急車
🚒,旅行,shoubousha,しょうぼうしゃ,消防車
🚓,旅行,patoka-,パトカー,パトカー
🚔,旅行,patoka-,パトカー,パトカー
🚕,旅行,takushi-,タクシー,タクシー
🚖,旅行,takushi-,タクシー,タクシー
🚗,旅行,jidousha,じどうしゃ,自動車
🚘,旅行,jidousha,じどうしゃ,自動車
🛻,旅行,torakku,トラック,トラック
🚚,旅行,torakku,トラック,トラック
🚜,旅行,torakuta-,トラクター,トラクター
🏎️,旅行,re-shinnguka-,レーシングカー,レーシングカー
🏍️,旅行,o-tobai,オートバイ,オートバイ
🛵,旅行,suku-ta-,スクーター,スクーター
🚲,旅行,jitennsha,じてんしゃ,自転車
🛴,旅行,kikkusuku-ta-,キックスクーター,キックスクーター
🚏,旅行,basutei,バスてい,バス停
🛣️,旅行,kousokudouro,こうそくどうろ,高速道路
🛤️,旅行,sennro,せんろ,線路
⛽,旅行,gasorinnsutanndo,ガソリンスタンド,ガソリンスタンド
🚥,旅行,shinngouki,しんごうき,信号機
🚦,旅行,shinngouki,しんごうき,信号機
🚧,旅行,kouji,こうじ,工事
⚓,旅行,ikari,いかり,いかり
⛵,旅行,yotto,ヨット,ヨット
🚤,旅行,supi-dobo-do,スピードボード,スピードボード
🛳️,旅行,fune,ふね,船
⛴️,旅行,feri-,フェリー,フェリー
🛥️,旅行,mo-ta-bo-to,モーターボート,モーターボート
🚢,旅行,fune,ふね,船
✈️,旅行,hikouki,ひこうき,飛行機
🛩️,旅行,hikouki,ひこうき,飛行機
🛫,旅行,hikouki,ひこうき,飛行機
🛬,旅行,hikouki,ひこうき,飛行機
🪂,旅行,parashu-to,パラシュート,パラシュート
💺,旅行,zaseki,ざせき,座席
🚁,旅行,herikoputa-,ヘリコプター,ヘリコプター
🛰️,旅行,jinnkoueisei,じんこうえいせい,人工衛星
🚀,旅行,roketto,ロケット,ロケット
🪐,旅行,wakusei,わくせい,惑星
🌠,旅行,nagareboshi,ながれぼし,流れ星
🌌,旅行,amanogawa,あまのがわ,天の川
🎆,旅行,hanabi,はなび,花火
🎇,旅行,sennkouhanabi,せんこうはなび,線香花火
🗿,旅行,moaizou,モアイぞう,モアイ像
💌,物,rabureta-,ラブレター,ラブレター
🕳️,物,ana,あな,穴
💣,物,bakudann,ばくだん,爆弾
🛀,物,nyuuyokusuru,にゅうよくする,入浴する
🛌,物,beddodeneru,ベッドでねる,ベッドで寝る
🔪,物,houchou,ほうちょう,包丁
🗺️,物,sekaichizu,せかいちず,世界地図
🧭,物,konnpasu,コンパス,コンパス
🧱,物,rennga,レンガ,レンガ
💈,シンボル,tokoya,とこや,床屋
🦽,物,kurumaisu,くるまいす,車椅子
🦼,物,denndoushaisu,でんどうしゃいす,電動車椅子
🛢️,物,doramukann,ドラムかん,ドラム缶
🛎️,物,yobirinn,よびりん,呼び鈴
🧳,物,ryokoukabann,りょこうかばん,旅行かばん
⌛,物,sunadokei,すなどけい,砂時計
⏳,物,sunadokei,すなどけい,砂時計
⌚,物,udedokei,うでどけい,腕時計
⏰,物,mezamashidokei,めざましどけい,目覚まし時計
⏱️,物,sutoppuwhocchi,ストップウォッチ,ストップウォッチ
⏲️,物,taima-,タイマー,タイマー
🕰️,物,okidokei,おきどけい,置き時計
🌡️,物,onndokei,おんどけい,温度計
⛱️,物,parasoru,パラソル,パラソル
🧨,物,bakuchiku,ばくちく,爆竹
🎈,物,fuusenn,ふうせん,風船
🎉,物,kurakka-,クラッカー,クラッカー
🎊,物,kusudama,くすだま,くす玉
🎎,物,hinamatsuri,ひなまつり,ひな祭り
🎏,物,koinobori,こいのぼり,こいのぼり
🎐,物,fuurinn,ふうりん,風鈴
🎀,物,ribonn,リボン,リボン
🎁,物,purezennto,プレゼント,プレゼント
🤿,物,daibinngumasuku,ダイビングマスク,ダイビングマスク
🪀,物,yo-yo-,ヨーヨー,ヨーヨー
🪁,物,tako,たこ,たこ
🪄,物,mahounotsue,まほうのつえ,魔法の杖
🕹️,物,suthikku,スティック,スティック
🧸,物,tedhibea,テディベア,テディベア
🪆,物,matoryo-shika,マトリョーシカ,マトリョーシカ
🖼️,物,kaiga,かいが,絵画
🛍️,物,shoppinngubaggu,ショッピングバッグ,ショッピングバッグ
💎,物,houseki,ほうせき,宝石
📱,必需品,keitaidennwa,けいたいでんわ,携帯電話
🔋,必需品,dennchi,でんち,電池
🔌,必需品,konnsennto,コンセント,コンセント
💻,必需品,no-topasokonn,ノートパソコン,ノートパソコン
🖥️,必需品,desukutoppupasokonn,デスクトップパソコン,デスクトップパソコン
🖨️,必需品,purinnta-,プリンター,プリンター
⌨️,必需品,ki-bo-do,キーボード,キーボード
🖱️,必需品,mausu,マウス,マウス
🖲️,必需品,torakkubo-ru,トラックボール,トラックボール
🧮,必需品,sorobann,そろばん,そろばん
🎥,必需品,mu-bi-kamera,ムービーカメラ,ムービーカメラ
📺,必需品,terebi,テレビ,テレビ
📷,必需品,kamera,カメラ,カメラ
📸,必需品,kamera,カメラ,カメラ
📹,必需品,bideokamera,ビデオカメラ,ビデオカメラ
🔍,必需品,mushimegane,むしメガネ,虫メガネ
🔎,必需品,mushimegane,むしメガネ,虫メガネ
🕯️,必需品,rousoku,ろうそく,ろうそく
💡,必需品,dennkyuu,でんきゅう,電球
🔦,必需品,kaichuudenntou,かいちゅうでんとう,懐中電灯
📔,必需品,no-to,ノート,ノート
📕,必需品,honn,ほん,本
📖,必需品,honn,ほん,本
📗,必需品,honn,ほん,本
📘,必需品,honn,ほん,本
📙,必需品,honn,ほん,本
📚,必需品,honn,ほん,本
📓,必需品,no-to,ノート,ノート
🏷️,必需品,raberu,ラベル,ラベル
💰,必需品,okanenofukuro,おかねのふくろ,お金の袋
🪙,必需品,koinn,コイン,コイン
💴,必需品,osatsu,おさつ,お札
💵,必需品,osatsu,おさつ,お札
💶,必需品,osatsu,おさつ,お札
💷,必需品,osatsu,おさつ,お札
💳,必需品,kurejittoka-do,クレジットカード,クレジットカード
🧾,必需品,reshi-to,レシート,レシート
✉️,必需品,fuutou,ふうとう,封筒
📮,必需品,posuto,ポスト,ポスト
✏️,必需品,ennpitsu,えんぴつ,鉛筆
🖊️,必需品,penn,ペン,ペン
🖌️,必需品,efude,えふで,絵筆
🖍️,必需品,kureyonn,クレヨン,クレヨン
📝,必需品,memo,メモ,メモ
📅,必需品,karennda-,カレンダー,カレンダー
📆,必需品,karennda-,カレンダー,カレンダー
🗓️,必需品,karennda-,カレンダー,カレンダー
📋,必需品,kurippubo-do,クリップボード,クリップボード
📌,必需品,gabyou,がびょう,画びょう
📍,必需品,gabyou,がびょう,画びょう
📎,必需品,kurippu,クリップ,クリップ
🖇️,必需品,kurippu,クリップ,クリップ
📏,必需品,jougi,じょうぎ,定規
📐,必需品,sannkakujougi,さんかくじょうぎ,三角定規
✂️,必需品,hasami,はさみ,はさみ
🗃️,必需品,shoruibako,しょるいばこ,書類箱
🗄️,必需品,shoruishuunoubako,しょるいしゅうのうばこ,書類収納棚
🗑️,必需品,gomibako,ゴミばこ,ゴミ箱
🔒,必需品,kagiwotojiru,カギをとじる,カギを閉じる
🔓,必需品,kagiwoakeru,カギをあける,カギを開ける
🔑,必需品,kagi,カギ,カギ
🗝️,必需品,kagi,カギ,カギ
🔨,物,hannma-,ハンマー,ハンマー
🪓,物,ono,おの,斧
⛏️,物,tsuruhashi,つるはし,つるはし
🗡️,物,daga-,ダガー,ダガー
⚔️,物,kurosushitakenn,クロスしたけん,クロスした剣
🔫,物,pisutoru,ピストル,ピストル
🪃,物,bu-merann,ブーメラン,ブーメラン
🛡️,物,tate,たて,盾
🔗,物,rinnku,リンク,リンク
⛓️,物,che-nn,チェーン,チェーン
🪝,物,fukku,フック,フック
🧰,物,kougubako,こうぐばこ,工具箱
🧲,物,jishaku,じしゃく,磁石
🪜,物,hashigo,はしご,はしご
💉,物,chuushaki,ちゅうしゃき,注射器
💊,物,kusuri,くすり,薬
🩹,物,bannsoukou,ばんそうこう,ばんそうこう
🚪,物,doa,ドア,ドア
🪞,物,kagami,かがみ,鏡
🪟,物,mado,まど,窓
🛏️,物,beddo,ベッド,ベッド
🛋️,物,sofa-torannpu,ソファーとランプ,ソファーとランプ
🪑,物,isu,イス,イス
🚽,物,toire,トイレ,トイレ
🪠,物,raba-kappu,ラバーカップ,ラバーカップ
🚿,物,shawa-,シャワー,シャワー
🛁,物,basutabu,バスタブ,バスタブ
🪒,物,kamisori,カミソリ,カミソリ
🧴,物,ro-shonnbotoru,ローションボトル,ローションボトル
🧷,物,annzennpinn,あんぜんピン,安全ピン
🧹,物,houki,ほうき,ほうき
🧺,物,basuketto,バスケット,バスケット
🧻,物,toirettope-pa-,トイレットペーパー,トイレットペーパー
🪣,物,baketsu,バケツ,バケツ
🧼,物,sekkenn,せっけん,せっけん
🪥,物,haburashi,はブラシ,歯ブラシ
🧽,物,suponnji,スポンジ,スポンジ
🧯,物,shoukaki,しょうかき,消火器
🛒,物,shoppinnguka-to,ショッピングカート,ショッピングカート
🚬,物,tabako,タバコ,タバコ
🪧,物,puraka-do,プラカード,プラカード
♨️,シンボル,onnsenn,おんせん,温泉
💈,シンボル,tokoya,とこや,床屋
🕛,シンボル,12ji,12じ,12時
🕧,シンボル,12jihann,12じはん,12時半
🕐,シンボル,1ji,1じ,1時
🕜,シンボル,1jihann,1じはん,1時半
🕑,シンボル,2ji,2じ,2時
🕝,シンボル,2jihann,2じはん,2時半
🕒,シンボル,3ji,3じ,3時
🕞,シンボル,3jihann,3じはん,3時半
🕓,シンボル,4ji,4じ,4時
🕟,シンボル,4jihann,4じはん,4時半
🕔,シンボル,5ji,5じ,5時
🕠,シンボル,5jihann,5じはん,5時半
🕕,シンボル,6ji,6じ,6時
🕡,シンボル,6jihann,6じはん,6時半
🕖,シンボル,7ji,7じ,7時
🕢,シンボル,7jihann,7じはん,7時半
🕗,シンボル,8ji,8じ,8時
🕣,シンボル,8jihann,8じはん,8時半
🕘,シンボル,9ji,9じ,9時
🕤,シンボル,9jihann,9じはん,9時半
🕙,シンボル,10ji,10じ,10時
🕥,シンボル,10jihann,10じはん,10時半
🕚,シンボル,11ji,11じ,11時
🕦,シンボル,11jihann,11じはん,11時半
🌀,シンボル,saikuronn,サイクロン,サイクロン
♠️,シンボル,supe-do,スペード,スペード
♥️,シンボル,ha-to,ハート,ハート
♦️,シンボル,daiya,ダイヤ,ダイヤ
📢,シンボル,kakuseiki,かくせいき,拡声器
📣,シンボル,megahonn,メガホン,メガホン
🔔,シンボル,beru,ベル,ベル
⬆️,シンボル,ue,うえ,上
↗️,シンボル,migiue,みぎうえ,右上
➡️,シンボル,migi,みぎ,右
↘️,シンボル,migishita,みぎした,右下
⬇️,シンボル,shita,した,下
↙️,シンボル,hidarishita,ひだりした,左下
⬅️,シンボル,hidari,ひだり,左
↖️,シンボル,hidariue,ひだりうえ,左上